Date,TotalSteps,TotalDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,TotalMinutesAsleep,type
2016-04-12,13162,8.5,25,13,328,728,1985,327.0,NonSleepers
2016-04-13,10735,6.96999979019165,21,19,217,776,1797,384.0,NonSleepers
2016-04-15,9762,6.28000020980835,29,34,209,726,1745,412.0,NonSleepers
2016-04-16,12669,8.15999984741211,36,10,221,773,1863,340.0,NonSleepers
2016-04-19,15506,9.88000011444092,50,31,264,775,2035,304.0,NonSleepers
2016-04-20,10544,6.67999982833862,28,12,205,818,1786,360.0,NonSleepers
2016-04-21,9819,6.34000015258789,19,8,211,838,1775,325.0,NonSleepers
2016-04-23,14371,9.03999996185303,41,21,262,732,1949,361.0,NonSleepers
2016-04-24,10039,6.40999984741211,39,5,238,709,1788,430.0,NonSleepers
2016-04-25,15355,9.80000019073486,73,14,216,814,2013,277.0,NonSleepers
2016-04-26,13755,8.78999996185303,31,23,279,833,1970,245.0,NonSleepers
2016-04-28,13154,8.52999973297119,48,28,189,782,1898,366.0,NonSleepers
2016-04-29,11181,7.15000009536743,16,12,243,815,1837,341.0,NonSleepers
2016-04-30,14673,9.25,52,34,217,712,1947,404.0,NonSleepers
2016-05-01,10602,6.80999994277954,33,35,246,730,1820,369.0,NonSleepers
2016-05-02,14727,9.71000003814697,41,15,277,798,2004,277.0,NonSleepers
2016-05-03,15103,9.65999984741211,50,24,254,816,1990,273.0,NonSleepers
2016-05-05,14070,8.89999961853027,45,24,250,857,1959,247.0,NonSleepers
2016-05-06,12159,8.02999973297119,24,6,289,754,1896,334.0,NonSleepers
2016-05-07,11992,7.71000003814697,37,46,175,833,1821,331.0,NonSleepers
2016-05-08,10060,6.57999992370605,44,8,203,574,1740,594.0,Sleepers
2016-05-09,12022,7.71999979019165,46,11,206,835,1819,338.0,NonSleepers
2016-05-10,12207,7.76999998092651,46,31,214,746,1859,383.0,NonSleepers
2016-05-11,12770,8.13000011444092,36,23,251,669,1783,285.0,NonSleepers
2016-04-15,3844,2.53999996185303,0,0,176,527,1725,644.0,Sleepers
2016-05-01,2573,1.70000004768372,0,7,75,585,1541,590.0,Sleepers
2016-04-13,356,0.25,0,0,32,986,2151,398.0,NonSleepers
2016-04-15,980,0.680000007152557,0,0,51,941,2221,475.0,Sleepers
2016-04-26,3761,2.59999990463257,0,0,192,1058,2638,296.0,NonSleepers
2016-04-12,4414,2.74000000953674,3,8,181,706,1459,503.0,Sleepers
2016-04-13,4993,3.09999990463257,0,0,238,663,1521,531.0,Sleepers
2016-04-14,3335,2.0699999332428,0,0,197,653,1431,545.0,Sleepers
2016-04-15,3821,2.36999988555908,0,0,188,687,1444,523.0,Sleepers
2016-04-16,2547,1.58000004291534,0,0,150,728,1373,524.0,Sleepers
2016-04-19,2424,1.5,0,0,141,785,1356,498.0,Sleepers
2016-04-20,7222,4.48000001907349,0,0,327,623,1667,461.0,Sleepers
2016-04-21,2467,1.52999997138977,0,0,153,749,1370,477.0,Sleepers
2016-04-22,2915,1.80999994277954,0,0,162,712,1399,520.0,Sleepers
2016-04-23,12357,7.71000003814697,0,0,432,458,1916,522.0,Sleepers
2016-04-24,3490,2.16000008583069,0,0,164,704,1401,555.0,Sleepers
2016-04-25,6017,3.73000001907349,0,0,260,821,1576,506.0,Sleepers
2016-04-27,6088,3.76999998092651,0,0,286,586,1593,508.0,Sleepers
2016-04-28,6375,3.95000004768372,0,0,331,626,1649,513.0,Sleepers
2016-04-29,7604,4.71000003814697,0,0,352,492,1692,490.0,Sleepers
2016-04-30,4729,2.9300000667572,0,0,233,594,1506,573.0,Sleepers
2016-05-01,3609,2.27999997138977,0,0,191,716,1447,527.0,Sleepers
2016-05-02,7018,4.34999990463257,0,0,355,716,1690,511.0,Sleepers
2016-05-04,6564,4.07000017166138,0,0,345,530,1658,538.0,Sleepers
2016-05-05,12167,7.53999996185303,0,0,475,479,1926,468.0,Sleepers
