"FEATURE,N,8,0","IDINCENDIO,N,10,5","NUMPARTE,N,12,5","FECHA,C,4","CMUNICIPIO,N,5,0","MUNICIPIO,C,100","FECHAEXTIN,C,10","SUPFOREST,N,19,2","SUPQUEMADA,N,19,2","SUPDIBUJO,N,19,2","GEOM_AREA,N,19,2","GEOM_PERI,N,19,2","BEGINLIFE,C,10"
30200036,0,0,2011,54,Bertizarana,11/02/2011,18.99,18.99,18.99,189857.77,2438.81,01/01/2020
30200036,1,2011310081,2011,54,Bertizarana,11/02/2011,13.6,13.6,13.6,136015.97,1987.64,01/01/2020
30200036,2,2011310082,2011,54,Bertizarana,12/02/2011,7.35,7.35,7.35,73543.34,1580.51,01/01/2020
30200036,3,2011310079,2011,241,Urraúl Alto,10/02/2011,1.56,1.56,1.56,15600.33,613.15,01/01/2020
30200036,4,0,2011,241,Urraúl Alto,10/02/2011,0.62,0.62,0.62,6226.84,377.94,01/01/2020
30200036,5,2011310070,2011,50,Baztan,09/02/2011,3.7,3.7,3.7,37004.89,1206.36,01/01/2020
30200036,6,2011310072,2011,50,Baztan,09/02/2011,2.11,2.11,2.11,21061.94,806.27,01/01/2020
30200036,7,2011310052,2011,150,Leoz / Leotz,05/02/2011,7.28,7.28,7.28,72838.98,1123.02,01/01/2020
30200036,8,2011310059,2011,49,Basaburua,06/02/2011,0.63,0.63,0.63,6284.05,396.32,01/01/2020
30200036,10,2011310064,2011,17,Anue,07/02/2011,2.88,2.88,2.88,28831.91,910.06,01/01/2020
30200036,11,2011310114,2011,54,Bertizarana,18/02/2011,8.66,8.66,8.66,86592.7,2277.09,01/01/2020
30200036,12,2011310020,2011,144,Larraun,21/01/2011,0.5,0.5,0.5,5037.04,322.46,01/01/2020
30200036,13,2011310128,2011,50,Baztan,11/02/2011,5.13,5.13,5.13,51340.61,1673.27,01/01/2020
30200036,14,2011310063,2011,50,Baztan,07/02/2011,12.8,12.8,12.8,128002.57,1819.59,01/01/2020
30200036,15,2011310075,2011,115,Garralda,10/02/2011,1.67,1.67,1.67,16738.91,615.76,01/01/2020
30200036,16,2011310017,2011,224,Sesma,20/01/2011,1.17,1.17,1.17,11684.47,567.23,01/01/2020
30200036,17,2011310069,2011,50,Baztan,08/02/2011,6.56,6.56,6.56,65641.26,1407.21,01/01/2020
30200036,18,2011310151,2011,137,Beintza-Labaien,10/03/2011,2.7,2.7,2.7,27029.04,828.39,01/01/2020
30200036,19,2011310164,2011,117,Goizueta,12/03/2011,1.58,1.58,1.58,15849.52,659.24,01/01/2020
30200036,20,2011310165,2011,263,Zubieta,13/03/2011,1.45,1.45,1.45,14516.19,569.26,01/01/2020
30200036,22,2011310144,2011,50,Baztan,08/03/2011,0.29,0.29,0.29,2850.82,220.05,01/01/2020
30200036,23,2011310136,2011,50,Baztan,07/03/2011,1.22,1.22,1.22,12209.6,458.25,01/01/2020
30200036,25,2011310187,2011,50,Baztan,26/03/2011,2.23,2.23,2.23,22272.4,905.6,01/01/2020
30200036,26,2011310169,2011,144,Larraun,14/03/2011,2.35,2.35,2.35,23532.97,1029.37,01/01/2020
30200036,27,2011310006,2011,188,Oláibar,07/01/2011,0.2,0.2,0.2,1958.12,228.58,01/01/2020
30200036,28,2011310036,2011,91,Ergoiena,28/01/2011,0.24,0.24,0.24,2410.94,233.57,01/01/2020
30200036,29,2011310058,2011,265,Zúñiga,06/02/2011,3.85,3.85,3.85,38468.98,983.91,01/01/2020
30200036,30,2011310074,2011,49,Basaburua,09/02/2011,0.21,0.21,0.21,2071.76,170.54,01/01/2020
30200036,31,2011310124,2011,77,Corella,26/02/2011,0.92,0.92,0.92,9238.46,467.64,01/01/2020
30200036,32,2011310178,2011,64,Cadreita,23/03/2011,1.68,1.68,1.68,16824.03,656.61,01/01/2020
30200036,33,2011310179,2011,50,Baztan,26/03/2011,2.62,2.62,2.62,26247.21,1009.65,01/01/2020
30200036,34,2011310168,2011,144,Larraun,14/03/2011,4.57,4.57,4.57,45650.15,1510.35,01/01/2020
30200036,35,2011310171,2011,80,Dicastillo,18/03/2011,0.79,0.79,0.79,7909.8,549.45,01/01/2020
30200036,36,2011310194,2011,144,Larraun,28/03/2011,2.38,2.38,2.38,23827.8,853.94,01/01/2020
30200036,37,2011310170,2011,144,Larraun,14/03/2011,1.64,1.64,1.64,16378.68,663.9,01/01/2020
30200036,38,2011310201,2011,149,Leitza,01/04/2011,8.96,8.96,8.96,89561.05,1099.35,01/01/2020
30200036,39,2011310203,2011,153,Lesaka,02/04/2011,3.73,3.73,3.73,37282.18,845.33,01/01/2020
30200036,40,2011310248,2011,123,Uharte Arakil,20/04/2011,0.34,0.34,0.34,3422.18,235.94,01/01/2020
30200036,41,2011310310,2011,157,Lodosa,03/06/2011,4.31,4.31,4.31,43122.33,1462.11,01/01/2020
30200036,42,2011310316,2011,167,Mendigorria,17/06/2011,4.15,4.15,4.15,41500.79,817.15,01/01/2020
30200036,43,2011310318,2011,18,Añorbe,19/06/2011,0.33,0.33,0.33,3250.42,228.55,01/01/2020
30200036,44,2011310319,2011,175,Mues,20/06/2011,4.89,4.89,4.89,48884.06,957.1,01/01/2020
30200036,45,2011310323,2011,167,Mendigorria,22/06/2011,11.14,11.14,11.14,111405.95,1404.22,01/01/2020
30200036,46,2011310324,2011,29,Los Arcos,22/06/2011,58.26,58.26,58.26,582588.57,4550.55,01/01/2020
30200036,47,2011310325,2011,26,Aras,22/06/2011,1.72,1.72,1.72,17165.36,955.39,01/01/2020
30200036,48,2011310327,2011,74,Cirauqui / Zirauki,24/06/2011,30.38,30.38,30.38,303785.5,2950.2,01/01/2020
30200036,49,2011310339,2011,18,Añorbe,03/07/2011,4.82,4.82,4.82,48206.89,1135.49,01/01/2020
30200036,50,2011310339,2011,18,Añorbe,03/07/2011,2.91,2.91,2.91,29063.36,931.87,01/01/2020
30200036,51,2011310340,2011,200,Oteiza,04/07/2011,10.65,10.65,10.65,106517.86,1832.26,01/01/2020
30200036,52,2011310343,2011,74,Cirauqui / Zirauki,06/07/2011,49.71,49.71,49.71,497112.47,4909.35,01/01/2020
30200036,53,2011310358,2011,152,Lerín,19/07/2011,19.58,19.58,19.58,195818.81,3163.32,01/01/2020
30200036,54,2011310362,2011,97,Estella-Lizarra,21/07/2011,7.22,7.22,7.22,72239.04,1241.53,01/01/2020
30200036,55,2011310364,2011,77,Corella,22/07/2011,0.31,0.31,0.31,3090.42,290.52,01/01/2020
30200036,56,2011310369,2011,190,Olejua,24/07/2011,0.92,0.92,0.92,9191.81,386.04,01/01/2020
