service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                                                                                                                                                                                                                                       
2022-12-132022-12-19001651,1,1,1,1,1,1,1,20221213,20221219                                                                                                                                                                                                                                                                                                    
2022-12-202023-01-29001651,1,1,1,1,1,1,1,20221220,20230129                                                                                                                                                                                                                                                                                                    
2022-12-132022-12-19001653,1,1,1,1,1,1,1,20221213,20221219                                                                                                                                                                                                                                                                                                    
2022-12-202023-01-29001653,1,1,1,1,1,1,1,20221220,20230129                                                                                                                                                                                                                                                                                                    
2022-12-132023-03-12001901,1,1,1,1,1,1,1,20221213,20230312                                                                                                                                                                                                                                                                                                    
2022-12-132023-03-12001902,1,1,1,1,1,1,1,20221213,20230312                                                                                                                                                                                                                                                                                                    
2022-12-132023-03-12001931,1,1,1,1,1,1,1,20221213,20230312                                                                                                                                                                                                                                                                                                    
2022-12-132023-03-12001932,1,1,1,1,1,1,1,20221213,20230312                                                                                                                                                                                                                                                                                                    
2022-12-132023-03-12001941,1,1,1,1,1,1,1,20221213,20230312                                                                                                                                                                                                                                                                                                    
2022-12-132023-03-12001942,1,1,1,1,1,1,1,20221213,20230312                                                                                                                                                                                                                                                                                                    
2022-12-132022-12-25001971,1,1,1,1,1,1,1,20221213,20221225                                                                                                                                                                                                                                                                                                    
2022-12-272023-01-05001971,1,1,1,1,1,1,1,20221227,20230105                                                                                                                                                                                                                                                                                                    
2023-01-072023-03-12001971,1,1,1,1,1,1,1,20230107,20230312                                                                                                                                                                                                                                                                                                    
2022-12-132022-12-25001972,1,1,1,1,1,1,1,20221213,20221225                                                                                                                                                                                                                                                                                                    
2022-12-272023-01-05001972,1,1,1,1,1,1,1,20221227,20230105                                                                                                                                                                                                                                                                                                    
2023-01-072023-03-12001972,1,1,1,1,1,1,1,20230107,20230312                                                                                                                                                                                                                                                                                                    
2022-12-132022-12-25001991,1,1,1,1,1,1,1,20221213,20221225                                                                                                                                                                                                                                                                                                    
2022-12-262022-12-26001991,1,1,1,1,1,1,1,20221226,20221226                                                                                                                                                                                                                                                                                                    
2022-12-272023-01-05001991,1,1,1,1,1,1,1,20221227,20230105                                                                                                                                                                                                                                                                                                    
2023-01-062023-01-06001991,1,1,1,1,1,1,1,20230106,20230106                                                                                                                                                                                                                                                                                                    
2023-01-072023-03-12001991,1,1,1,1,1,1,1,20230107,20230312                                                                                                                                                                                                                                                                                                    
2022-12-132022-12-25001992,1,1,1,1,1,1,1,20221213,20221225                                                                                                                                                                                                                                                                                                    
2022-12-262022-12-26001992,1,1,1,1,1,1,1,20221226,20221226                                                                                                                                                                                                                                                                                                    
2022-12-272023-01-05001992,1,1,1,1,1,1,1,20221227,20230105                                                                                                                                                                                                                                                                                                    
2023-01-062023-01-06001992,1,1,1,1,1,1,1,20230106,20230106                                                                                                                                                                                                                                                                                                    
2023-01-072023-03-12001992,1,1,1,1,1,1,1,20230107,20230312                                                                                                                                                                                                                                                                                                    
2022-12-132022-12-19002641,1,1,1,1,1,1,1,20221213,20221219                                                                                                                                                                                                                                                                                                    
2022-12-202023-01-29002641,1,1,1,1,1,1,1,20221220,20230129                                                                                                                                                                                                                                                                                                    
2022-12-132022-12-19002643,1,1,1,1,1,1,1,20221213,20221219                                                                                                                                                                                                                                                                                                    
2022-12-202023-01-29002643,1,1,1,1,1,1,1,20221220,20230129                                                                                                                                                                                                                                                                                                    
2022-12-132023-01-31002761,1,1,1,1,1,1,1,20221213,20230131                                                                                                                                                                                                                                                                                                    
2022-12-132023-01-31002762,1,1,1,1,1,1,1,20221213,20230131                                                                                                                                                                                                                                                                                                    
2022-12-132023-01-31002771,1,1,1,1,1,1,1,20221213,20230131                                                                                                                                                                                                                                                                                                    
2022-12-132023-01-31002772,1,1,1,1,1,1,1,20221213,20230131                                                                                                                                                                                                                                                                                                    
2022-12-132023-04-16002801,1,1,1,1,1,1,1,20221213,20230416                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-28002811,1,1,1,1,1,1,1,20221213,20230228                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-28002821,1,1,1,1,1,1,1,20221213,20230228                                                                                                                                                                                                                                                                                                    
2022-12-132023-04-16002831,1,1,1,1,1,1,1,20221213,20230416                                                                                                                                                                                                                                                                                                    
2022-12-132023-04-16004371,1,1,1,1,1,1,1,20221213,20230416                                                                                                                                                                                                                                                                                                    
2022-12-132023-04-16004372,1,1,1,1,1,1,1,20221213,20230416                                                                                                                                                                                                                                                                                                    
2022-12-132023-04-16004373,1,1,1,1,1,1,1,20221213,20230416                                                                                                                                                                                                                                                                                                    
2022-12-132023-04-16004381,1,1,1,1,1,1,1,20221213,20230416                                                                                                                                                                                                                                                                                                    
2022-12-132023-04-16004382,1,1,1,1,1,1,1,20221213,20230416                                                                                                                                                                                                                                                                                                    
2022-12-132023-04-16004383,1,1,1,1,1,1,1,20221213,20230416                                                                                                                                                                                                                                                                                                    
2022-12-132023-01-29005301,1,1,1,1,1,1,1,20221213,20230129                                                                                                                                                                                                                                                                                                    
2022-12-132023-01-29005302,1,1,1,1,1,1,1,20221213,20230129                                                                                                                                                                                                                                                                                                    
2022-12-132023-01-29005331,1,1,1,1,1,1,1,20221213,20230129                                                                                                                                                                                                                                                                                                    
2022-12-132023-01-29005332,1,1,1,1,1,1,1,20221213,20230129                                                                                                                                                                                                                                                                                                    
2022-12-142023-01-04005581,1,1,1,1,1,1,1,20221214,20230104                                                                                                                                                                                                                                                                                                    
2023-01-062023-03-18005581,1,1,1,1,1,1,1,20230106,20230318                                                                                                                                                                                                                                                                                                    
2023-03-202023-03-20005581,1,1,1,1,1,1,1,20230320,20230320                                                                                                                                                                                                                                                                                                    
2022-12-142023-01-04005601,1,1,1,1,1,1,1,20221214,20230104                                                                                                                                                                                                                                                                                                    
2023-01-062023-03-18005601,1,1,1,1,1,1,1,20230106,20230318                                                                                                                                                                                                                                                                                                    
2023-03-202023-03-20005601,1,1,1,1,1,1,1,20230320,20230320                                                                                                                                                                                                                                                                                                    
2022-12-132023-01-04005621,1,1,1,1,1,1,1,20221213,20230104                                                                                                                                                                                                                                                                                                    
2023-01-052023-01-05005621,1,1,1,1,1,1,1,20230105,20230105                                                                                                                                                                                                                                                                                                    
