route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible                                                                                                                                                                                                                                                
7180161307GL026,2022-12-132022-12-19001651,0016512022-12-13,,00165,,,,1                                                                                                                                                                                                                                                                                       
7180161307GL026,2022-12-202023-01-29001651,0016512022-12-20,,00165,,,,1                                                                                                                                                                                                                                                                                       
7180161200GL026,2022-12-132022-12-19001653,0016532022-12-13,,00165,,,,2                                                                                                                                                                                                                                                                                       
7180161200GL026,2022-12-202023-01-29001653,0016532022-12-20,,00165,,,,2                                                                                                                                                                                                                                                                                       
1700037606GL026,2022-12-132023-03-12001901,0019012022-12-13,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL026,2022-12-132023-03-12001902,0019022022-12-13,,00190,,,,2                                                                                                                                                                                                                                                                                       
3760617000GL026,2022-12-132023-03-12001931,0019312022-12-13,,00193,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL026,2022-12-132023-03-12001932,0019322022-12-13,,00193,,,,2                                                                                                                                                                                                                                                                                       
1700037606GL023,2022-12-132023-03-12001941,0019412022-12-13,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2022-12-132023-03-12001942,0019422022-12-13,,00194,,,,2                                                                                                                                                                                                                                                                                       
3760617000GL023,2022-12-132022-12-25001971,0019712022-12-13,,00197,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2022-12-272023-01-05001971,0019712022-12-27,,00197,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2023-01-072023-03-12001971,0019712023-01-07,,00197,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2022-12-132022-12-25001972,0019722022-12-13,,00197,,,,2                                                                                                                                                                                                                                                                                       
3760617000GL023,2022-12-272023-01-05001972,0019722022-12-27,,00197,,,,2                                                                                                                                                                                                                                                                                       
3760617000GL023,2023-01-072023-03-12001972,0019722023-01-07,,00197,,,,2                                                                                                                                                                                                                                                                                       
3760617000GL023,2022-12-132022-12-25001991,0019912022-12-13,,00199,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2022-12-262022-12-26001991,0019912022-12-26,,00199,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2022-12-272023-01-05001991,0019912022-12-27,,00199,,,,1                                                                                                                                                                                                                                                                                       
